author_id,author_display_name,first_retraction_year,first_category,first_position,n_retractions,n_categories,works_count,cited_by_count,first_pub_year,last_pub_year,career_span,last_country,last_institution,country,source_id,rw_journal,rw_publisher
A5006228503,Mehdi Poursheikhali Asghari,2019.0,EDITORIAL_COMPROMISE,first,1,1,7.0,45.0,2007.0,2023.0,16.0,IR,Tabriz University of Medical Sciences,IR,S52395412,Bioinformatics,Oxford University Press
A5006230341,Liping Jin,2018.0,UNCONFIRMED_CONCERNS,last,1,1,161.0,6125.0,2000.0,2025.0,25.0,CN,Jiangnan University,CN,S137860580,Biotechnology for Biofuels,Springer - Biomed Central (BMC)
A5006237211,Anne L. Coleman,2018.0,HONEST_ERROR,last,1,1,526.0,14611.0,1959.0,2026.0,67.0,US,"University of California, Los Angeles",US,S68724622,JAMA Ophthalmology,American Medical Association
A5006241036,Kuntal Majmudar,2018.0,AUTHOR_MISCONDUCT,middle,1,1,13.0,1852.0,2005.0,2025.0,20.0,US,Southwestern Medical Center,US,S106234763,Cancer Letters,Elsevier
A5006241576,Roberta Granese,2019.0,AUTHOR_MISCONDUCT,middle,1,1,162.0,3559.0,2000.0,2026.0,26.0,IT,University of Messina,IT,S123631873,International Journal of Endocrinology,Hindawi
A5006242483,Almoataz Y. Abdelaziz,2022.0,AUTHOR_MISCONDUCT,last,1,1,568.0,13729.0,1994.0,2025.0,31.0,EG,Ain Shams University,EG,S2764510487,Engineering Science and Technology,Elsevier
A5006243307,Fudong Hu,2022.0,AUTHOR_MISCONDUCT,middle,1,1,25.0,525.0,2013.0,2024.0,11.0,CN,First Affiliated Hospital of Zhengzhou University,CN,S95395365,Molecular Medicine Reports,Spandidos
A5006247678,C. Gail Summers,2017.0,AUTHOR_MISCONDUCT,middle,1,1,181.0,5980.0,1907.0,2025.0,118.0,US,Florida Cancer Care,US,S134425043,American Journal of Human Genetics,Elsevier
A5006251030,Mazliana A. Kamarudeen,2015.0,AUTHOR_MISCONDUCT,middle,1,1,4.0,184.0,2012.0,2016.0,4.0,MY,Universiti Putra Malaysia,MY,S67425620,Advanced Materials Research,Scientific.net
A5006252249,Steven Sorscher,2021.0,EDITORIAL_COMPROMISE,first,1,1,177.0,1202.0,1975.0,2025.0,50.0,US,Winston-Salem/Forsyth County Schools,US,S32518486,Clinical Lung Cancer,Elsevier
A5006256253,Chenkai Ma,2021.0,AUTHOR_MISCONDUCT,middle,1,1,54.0,1394.0,1966.0,2025.0,59.0,AU,Commonwealth Scientific and Industrial Research Organisation,CN,S104830714,FEBS Letters,Wiley
A5006256957,Umair Ahmed,2021.0,AUTHOR_MISCONDUCT,middle,1,1,156.0,3055.0,2010.0,2026.0,16.0,PK,"Government College University, Lahore",PK,S22344484,International Journal of Clinical Practice,Wiley
A5006260699,Jingrui Cao,2019.0,AUTHOR_MISCONDUCT,middle,1,1,36.0,549.0,1998.0,2026.0,28.0,CN,Zhejiang Sci-Tech University,,S26602194,Journal of Analytical Atomic Spectrometry,Royal Society of Chemistry (RSC)
A5006261099,Eric S. Fischer,2022.0,HONEST_ERROR,middle,1,1,271.0,14489.0,1944.0,2026.0,82.0,US,Harvard University,US,S110447773,Cell,Elsevier - Cell Press
A5006267826,Keigo Nagasaka,2018.0,HONEST_ERROR,middle,1,1,125.0,1065.0,1965.0,2016.0,51.0,JP,RIKEN Center for Advanced Photonics,JP,S155721155,Lasers in Surgery and Medicine,Wiley
A5006268005,Limin Cai,2020.0,ETHICS_VIOLATION,middle,1,1,42.0,506.0,2008.0,2026.0,18.0,CN,Dongguan University of Technology,CN,S130214813,Cancer Cell International,Springer - Biomed Central (BMC)
A5006270864,Thomas Hildebrandt,2019.0,HONEST_ERROR,middle,1,1,56.0,487.0,1989.0,2024.0,35.0,CH,Institute for Independent Studies Zürich,DE,S48212443,Reproductive Health,Springer - Biomed Central (BMC)
A5006273389,Daoliang Song,2021.0,AUTHOR_MISCONDUCT,middle,1,1,8.0,78.0,2007.0,2022.0,15.0,CN,Central Hospital of Zibo,CN,S23626183,The Anatomical Record : Advances in Integrative Anatomy and Evolutionary Biology,Wiley
A5006284779,Ulrika Axcrona,2020.0,AUTHOR_MISCONDUCT,middle,1,1,51.0,1549.0,1999.0,2026.0,27.0,NO,Oslo University Hospital,NO,S202381698,PLoS One,PLoS
A5006287602,Andrew Crean,2021.0,HONEST_ERROR,last,1,1,256.0,6193.0,1997.0,2026.0,29.0,CA,University of Ottawa,CA,S3005729997,medRxiv,Cold Spring Harbor Laboratory Press
A5006294670,Tao Jiang,2022.0,AUTHOR_MISCONDUCT,last,1,1,52.0,641.0,2004.0,2025.0,21.0,CN,Shanghai Jiao Tong University,CN,S111757857,Experimental and Molecular Pathology,Elsevier
A5006294703,Jaspreet Jain,2021.0,AUTHOR_MISCONDUCT,middle,1,1,29.0,1031.0,2013.0,2024.0,11.0,CA,Montreal Clinical Research Institute,CA,S4306402567,BioRxiv,Cold Spring Harbor Laboratory Press
A5006295034,Jia Yang,2021.0,AUTHOR_MISCONDUCT,last,1,1,55.0,1332.0,2008.0,2026.0,18.0,CN,Shandong University of Traditional Chinese Medicine,CN,S58832373,Oncology Letters,Spandidos
A5006295416,Abdelhak Khallouk,2015.0,AUTHOR_MISCONDUCT,middle,1,1,103.0,600.0,2003.0,2026.0,23.0,MA,Abdelmalek Essaâdi University,MA,S2755481371,Pan African Medical Journal (PAMJ),Pan African Medical Journal (PAMJ)
A5006298019,Hamidreza Namazi,2017.0,AUTHOR_MISCONDUCT,first,5,2,173.0,3874.0,2000.0,2026.0,26.0,MY,Monash University Malaysia,SG,S177373469,International Journal for Numerical Methods in Biomedical Engineering,Wiley
A5006301066,Jui‐Hsiang Hung,2022.0,AUTHOR_MISCONDUCT,middle,1,1,83.0,2816.0,1990.0,2026.0,36.0,TW,National Cheng Kung University,TW,S156174673,Hepatology,Wiley
A5006302651,Maan Hayyan,2015.0,AUTHOR_MISCONDUCT,middle,1,1,121.0,12113.0,1970.0,2026.0,56.0,SA,Shaqra University,MY,S96873385,"Spectrochimica Acta Part A, Molecular and Biomolecular Spectroscopy",Elsevier
A5006307580,B. Hoyle,2019.0,EDITORIAL_COMPROMISE,middle,1,1,181.0,14620.0,2000.0,2025.0,25.0,,,DE,S195663288,Monthly Notices of the Royal Astronomical Society: Letters,Oxford University Press
A5006317498,Xi Chen,2021.0,AUTHOR_MISCONDUCT,middle,1,1,204.0,1616.0,2002.0,2026.0,24.0,CN,Chengdu University of Information Technology,CN,S4210205812,Applied Sciences,MDPI
A5006317571,Antonietta Stellavato,2021.0,AUTHOR_MISCONDUCT,first,2,1,58.0,1361.0,2007.0,2024.0,17.0,IT,"University of Campania ""Luigi Vanvitelli""",IT,S1010394304,BioMed Research International,Hindawi
A5006318065,Babak Mirtamizdoust,2020.0,AUTHOR_MISCONDUCT,last,1,1,132.0,1503.0,2006.0,2023.0,17.0,IR,University of Qom,IR,S189140625,Journal of Molecular Liquids,Elsevier
A5006320617,Lincoln Eloi de Araújo,2016.0,AUTHOR_MISCONDUCT,middle,1,1,63.0,350.0,2006.0,2025.0,19.0,,,BR,S2737796411,Ambiente e Agua,Instituto de Pesquisas Ambientais em Bacias Hidrograficas (IPABHi)
A5006323152,Fabian Uddén,2020.0,HONEST_ERROR,first,1,1,12.0,181.0,2016.0,2026.0,10.0,SE,Lund University,SE,S4210207018,mSphere,American Society for Microbiology
A5006327947,R. Raviteja,2021.0,AUTHOR_MISCONDUCT,last,1,1,3.0,5.0,2018.0,2021.0,3.0,IN,SVS Medical College,IN,S4210202720,Arthroplasty,Springer - Biomed Central (BMC)
A5006330859,Yanxia Xing,2022.0,UNCONFIRMED_CONCERNS,first,1,1,102.0,1912.0,2004.0,2026.0,22.0,CN,Beijing Institute of Technology,,S36980176,Computational and Mathematical Methods in Medicine,Hindawi
A5006332747,Stefan Costinean,2017.0,UNCLASSIFIED,last,2,2,71.0,10272.0,2002.0,2023.0,21.0,US,Weatherford College,US,S202381698,PLoS One,PLoS
A5006332828,Jeremy To,2021.0,HONEST_ERROR,first,1,1,9.0,845.0,2013.0,2021.0,8.0,US,Genomics Institute of the Novartis Research Foundation,US,S4210225776,Communications Biology,Springer - Nature Publishing Group
A5006336142,Ramar Perumal Samy,2020.0,HONEST_ERROR,first,1,1,89.0,5026.0,1998.0,2024.0,26.0,SG,National University of Singapore,SG,S46544255,PLoS Neglected Tropical Diseases,PLoS
A5006337183,Xinmin Nie,2020.0,AUTHOR_MISCONDUCT,last,1,1,90.0,1720.0,2001.0,2025.0,24.0,CN,Central South University,CN,S120324992,OncoTargets and Therapy,Taylor and Francis - Dove Press
A5006340766,Songsong Zhao,2022.0,AUTHOR_MISCONDUCT,first,1,1,36.0,616.0,2014.0,2026.0,12.0,CN,Tianjin University of Commerce,CN,S151747869,Journal of Food Process Engineering,Wiley
A5006341667,Ollie Yiru Yu,2020.0,EDITORIAL_COMPROMISE,middle,1,1,108.0,2326.0,1982.0,2026.0,44.0,CN,Prince Philip Dental Hospital,HK,S191726168,Journal of Dentistry,Elsevier
A5006341770,Shelby L. Sturrock,2022.0,HONEST_ERROR,middle,1,1,34.0,477.0,1996.0,2025.0,29.0,US,3M (United States),CA,S134072179,Journal of Obesity,Hindawi
A5006343664,Jun Yang,2021.0,AUTHOR_MISCONDUCT,middle,1,1,22.0,105.0,1996.0,2025.0,29.0,CN,Craft Group (China),CN,S128754310,Applied Mechanics and Materials,Trans Tech Publications Ltd
A5006347104,Yusuke Takizawa,2018.0,AUTHOR_MISCONDUCT,middle,1,1,37.0,331.0,2006.0,2025.0,19.0,JP,Nihon Pharmaceutical University,JP,S204244929,European Journal of Drug Metabolism and Pharmacokinetics,Springer
A5006349952,Shahram Agah,2022.0,AUTHOR_MISCONDUCT,middle,1,1,174.0,3320.0,1996.0,2026.0,30.0,IR,Iran University of Medical Sciences,IR,S4210183135,European Journal of Nutrition,Springer
A5006356165,Dietmar Appelhans,2020.0,UNCONFIRMED_CONCERNS,middle,4,2,326.0,7397.0,1997.0,2026.0,29.0,DE,Leibniz Institute of Polymer Research,DE,S196734849,Scientific Reports,Elsevier
A5006363869,Uttam R. Pokharel,2021.0,HONEST_ERROR,first,1,1,66.0,255.0,2011.0,2026.0,15.0,US,University of Houston - Clear Lake,US,S64187185,Nature Communications,Springer - Nature Publishing Group
A5006367043,Xiaodong He,2021.0,AUTHOR_MISCONDUCT,middle,1,1,355.0,4305.0,1990.0,2026.0,36.0,CN,Chinese Academy of Medical Sciences & Peking Union Medical College,CN,S134668137,Nucleic Acids Research,Oxford University Press
A5006371736,G K Jakir Hussain,2022.0,AUTHOR_MISCONDUCT,first,1,1,14.0,47.0,2016.0,2025.0,9.0,IN,Karunya University,IN,S4210187594,Journal of Physics: Conference Series,IOP Publishing
A5006372454,Jeehoon Kang,2022.0,HONEST_ERROR,middle,1,1,284.0,4425.0,1994.0,2026.0,32.0,KR,Seoul National University Hospital,KR,S4210209683,Journal of Lipid and Atherosclerosis,Korean Society of Lipid and Atherosclerosis
A5006374250,Pritam Kalia,2020.0,HONEST_ERROR,middle,1,1,129.0,1265.0,1980.0,2025.0,45.0,IN,Indian Agricultural Statistics Research Institute,IN,S55420515,Journal of Horticultural Science and Biotechnology,Taylor and Francis
A5006375421,Ashfaq Ahmad Rahi,2022.0,EDITORIAL_COMPROMISE,middle,1,1,29.0,573.0,2012.0,2024.0,12.0,,,,S202381698,PLoS One,PLoS
A5006376053,Vojtěch Adam,2022.0,AUTHOR_MISCONDUCT,last,1,1,1308.0,30178.0,1967.0,2025.0,58.0,CZ,Central European Institute of Technology,CZ,S202381698,PLoS One,PLoS
A5006376950,Hamid Zare Abyaneh,2022.0,AUTHOR_MISCONDUCT,middle,1,1,69.0,1081.0,2007.0,2025.0,18.0,IR,Bu-Ali Sina University,IR,S55737203,Journal of Hydrology,Elsevier
A5006378633,Ruofeng Yin,2021.0,AUTHOR_MISCONDUCT,first,1,1,28.0,441.0,2011.0,2025.0,14.0,CN,Union Hospital,CN,S120324992,OncoTargets and Therapy,Taylor and Francis - Dove Press
A5006383531,Liangsheng Fan,2022.0,AUTHOR_MISCONDUCT,middle,1,1,46.0,1038.0,1999.0,2026.0,27.0,CN,First Affiliated Hospital of Guangzhou Medical University,CN,S143701222,Angiogenesis,Springer
A5006386397,Hong Zhou,2020.0,AUTHOR_MISCONDUCT,middle,1,1,227.0,8830.0,1989.0,2025.0,36.0,US,California NanoSystems Institute,AU,S2595292759,Frontiers in Immunology,Frontiers
A5006396543,Christoph Otto,2022.0,EDITORIAL_COMPROMISE,middle,1,1,214.0,3680.0,1976.0,2026.0,50.0,DE,Universitätsklinikum Würzburg,DE,S25293849,FASEB Journal,Wiley
A5006399853,Ali A. Rajhi,2022.0,AUTHOR_MISCONDUCT,first,1,1,118.0,1522.0,2015.0,2026.0,11.0,SA,King Khalid University,SA,S59012888,Physica Scripta,IOP Publishing
A5006402611,Linghu Meng,2021.0,AUTHOR_MISCONDUCT,middle,1,1,10.0,83.0,2012.0,2023.0,11.0,CN,Hubei University of Medicine,CN,S124357017,Oncology Reports,Spandidos
A5006404007,Mary C. Kosciuk,2022.0,UNCONFIRMED_CONCERNS,middle,1,1,34.0,1623.0,1983.0,2025.0,42.0,,,US,S202381698,PLoS One,PLoS
A5006404776,Pankita H. Pandya,2018.0,AUTHOR_MISCONDUCT,middle,1,1,74.0,901.0,2008.0,2026.0,18.0,US,Indiana University Health,,S24207032,Science Translational Medicine,American Association for the Advancement of Science (AAAS)
A5006404994,Xishuai Wang,2022.0,AUTHOR_MISCONDUCT,first,1,1,25.0,212.0,2018.0,2025.0,7.0,CN,Qufu Normal University,CN,S2765028195,Infection and Drug Resistance,Taylor and Francis - Dove Press
A5006405088,José Eduardo Maté Sánchez de Val,2018.0,AUTHOR_MISCONDUCT,middle,18,2,124.0,2311.0,1960.0,2026.0,66.0,ES,Universidad Católica de Murcia,ES,S122069063,Clinical Oral Implants Research,Wiley
A5006408993,F. E. A. Johnson,2017.0,UNCONFIRMED_CONCERNS,first,1,1,136.0,1301.0,1942.0,2024.0,82.0,GB,University College London,,S53865935,Communications in Algebra,Taylor and Francis
A5006411444,Ludwig M. Heindl,2021.0,UNCLASSIFIED,last,1,1,578.0,8028.0,2007.0,2026.0,19.0,DE,University of Cologne,DE,S76649502,Der Ophthalmologe: Zeitschrift der Deutschen Ophthalmologischen Gesellschaft,Springer
A5006413680,Abdul Sadiq,2022.0,AUTHOR_MISCONDUCT,middle,1,1,207.0,7601.0,1986.0,2026.0,40.0,PK,University of Malakand,PK,S101287785,International Journal of Nanomedicine,Taylor and Francis - Dove Press
A5006414766,Ayyalusamy Ramamoorthy,2018.0,AUTHOR_MISCONDUCT,last,1,1,549.0,32784.0,1979.0,2025.0,46.0,US,Florida State University,US,S152760256,Chemical Communications,Royal Society of Chemistry (RSC)
A5006416263,Paula M. Gómez Fernández,2020.0,EDITORIAL_COMPROMISE,middle,1,1,12.0,3.0,2012.0,2020.0,8.0,ES,Hospital Universitario Puerta de Hierro Majadahonda,ES,S4210215267,Atención Primaria Práctica,Elsevier
A5006423801,Zafar Jafarov,2015.0,AUTHOR_MISCONDUCT,first,1,1,6.0,1.0,2010.0,2015.0,5.0,AZ,Azerbaijan Technical University,AZ,,2015 9th International Conference on Application of Information and Communication Technologies (AICT),IEEE: Institute of Electrical and Electronics Engineers
A5006427484,Sherwin S. Chan,2019.0,ETHICS_VIOLATION,middle,1,1,98.0,1668.0,2006.0,2026.0,20.0,US,Children's Mercy Hospital,,S44033376,Pediatric Radiology,Springer
A5006427956,Zhenyu Ni,2016.0,AUTHOR_MISCONDUCT,first,1,1,84.0,887.0,1980.0,2026.0,46.0,US,"University of California, Davis",CN,S120324992,OncoTargets and Therapy,Taylor and Francis - Dove Press
A5006428092,Junkuo Li,2022.0,AUTHOR_MISCONDUCT,middle,1,1,40.0,544.0,2013.0,2026.0,13.0,BG,Economic Research Institute,CN,S96572642,Genetic Testing and Molecular Biomarkers,Mary Ann Liebert
A5006429271,Yoshihisa Miyamoto,2017.0,HONEST_ERROR,middle,1,1,151.0,919.0,1963.0,2026.0,63.0,US,Centers for Disease Control and Prevention,JP,S192565471,Pediatric Anesthesia (Paediatric Anaesthesia),Wiley
A5006436482,Bo Yang,2022.0,AUTHOR_MISCONDUCT,last,1,1,59.0,441.0,1997.0,2026.0,29.0,CN,Nanfang Hospital,,S4306525036,European Review for Medical and Pharmacological Sciences,Verduci Editore
A5006436547,Kiyoshi Omine,2020.0,AUTHOR_MISCONDUCT,middle,1,1,285.0,1944.0,1970.0,2026.0,56.0,,,JP,S4210188153,"Energy Sources, Part A: Recovery Utilization and Environmental Effects",Taylor and Francis
A5006440865,Jianyong Lou,2017.0,AUTHOR_MISCONDUCT,last,1,1,40.0,358.0,2005.0,2025.0,20.0,CN,Xi'an Jiaotong University,CN,S3026325,IET Electric Power Applications,The Institution of Engineering and Technology
A5006447080,Jinlin Lu,2017.0,UNCONFIRMED_CONCERNS,middle,1,1,102.0,2354.0,2006.0,2025.0,19.0,CN,Guangzhou Maritime College,CN,S189509794,Journal of Materials Science: Materials in Electronics,Springer
A5006448079,Patrick O’Keeffe,2015.0,EDITORIAL_COMPROMISE,middle,1,1,181.0,3236.0,1991.0,2026.0,35.0,IT,Institute of Structure of Matter,IT,S4210187594,Journal of Physics: Conference Series,IOP Publishing
A5006450000,Malik Zaka Ullah,2021.0,HONEST_ERROR,middle,1,1,195.0,5297.0,2000.0,2025.0,25.0,SA,King Abdulaziz University,SA,S2596760093,Frontiers in Physics,Frontiers
A5006452750,Bingfei Dong,2022.0,AUTHOR_MISCONDUCT,middle,1,1,14.0,177.0,2008.0,2024.0,16.0,CN,Jilin University,CN,S124357017,Oncology Reports,Spandidos
A5006455181,Xiujuan Qu,2015.0,EDITORIAL_COMPROMISE,middle,1,1,397.0,8531.0,2002.0,2026.0,24.0,CN,First Hospital of China Medical University,CN,S12644804,Tumor Biology (Tumour Biology) - Official Journal of the International Society of Oncology and BioMarkers (ISOBM),Springer - Nature Publishing Group
A5006457653,Robert A. Clark,2018.0,HONEST_ERROR,first,1,1,186.0,4388.0,1944.0,2026.0,82.0,US,"University of California, Los Angeles",US,S207341048,Ophthalmology,Elsevier
A5006458963,Ahmad Abdul Wahab,2019.0,AUTHOR_MISCONDUCT,middle,1,1,12.0,74.0,2016.0,2025.0,9.0,PK,Bahauddin Zakariya University,PK,S4393917809,International Conference on Future Intelligent Vehicular Technologies (Future 5V 2016: Future Intelligent Vehicular Technologies),Springer - Nature Publishing Group
A5006460108,Ping Liang,2015.0,AUTHOR_MISCONDUCT,middle,1,1,729.0,18653.0,1982.0,2026.0,44.0,CN,China Meteorological Administration,CN,S15239247,International Journal of Environmental Research and Public Health,MDPI
A5006463761,Chiara Riganti,2020.0,AUTHOR_MISCONDUCT,first,1,1,636.0,14554.0,1987.0,2026.0,39.0,BY,Department of Medical Sciences,IT,S202381698,PLoS One,PLoS
A5006464395,Abolfazl Masoudi,2020.0,AUTHOR_MISCONDUCT,first,1,1,50.0,489.0,2014.0,2026.0,12.0,US,University of Illinois Chicago,CN,S115815424,Journal of Invertebrate Pathology,Elsevier
A5006474948,Ajay A. Vashisht,2018.0,HONEST_ERROR,middle,1,1,163.0,9481.0,2005.0,2026.0,21.0,CA,Brantford Energy (Canada),US,S196734849,Scientific Reports,Springer - Nature Publishing Group
A5006481887,Rémi Favier,2015.0,AUTHOR_MISCONDUCT,middle,1,1,189.0,10061.0,1989.0,2025.0,36.0,FR,Sorbonne Université,FR,S27064115,Leukemia & Lymphoma,Taylor and Francis
A5006489041,Xuanni Zhang,2022.0,EDITORIAL_COMPROMISE,first,1,1,16.0,71.0,2009.0,2022.0,13.0,CN,Xianyang Normal University,CN,S110206669,Multimedia Tools and Applications,Springer
A5006490363,V Pranav,2022.0,AUTHOR_MISCONDUCT,middle,1,1,12.0,33.0,2017.0,2025.0,8.0,IN,Amrita Vishwa Vidyapeetham,IN,S4210187594,Journal of Physics: Conference Series,IOP Publishing
A5006492283,Lijuan Yu,2022.0,AUTHOR_MISCONDUCT,middle,1,1,57.0,1914.0,2010.0,2025.0,15.0,CN,Soochow University,CN,S2764969478,Molecular Therapy - Nucleic Acids,Elsevier - Cell Press
A5006492647,G Schoretsanitis,2020.0,AUTHOR_MISCONDUCT,last,1,1,33.0,503.0,1989.0,2025.0,36.0,CH,Universitäre Psychiatrische Dienste Bern,GR,S63327972,Hellenic Journal of Surgery,Springer
A5006497370,Hengbao Chen,2016.0,EDITORIAL_COMPROMISE,first,1,1,22.0,525.0,2012.0,2025.0,13.0,CN,Hebei University of Engineering,CN,S112674977,Composites Part B: Engineering,Elsevier
A5006499874,Promothesh Chatterjee,2016.0,HONEST_ERROR,first,1,1,32.0,665.0,2009.0,2026.0,17.0,US,University of Utah,US,S148909191,Marketing Letters,Springer
A5006502381,Juan Carlos Bustamante,2016.0,HONEST_ERROR,middle,1,1,93.0,2214.0,1989.0,2026.0,37.0,ES,Universidad de Zaragoza,ES,S18942856,"Cognitive, Affective & Behavioral Neuroscience (CABN)",Springer
A5006503848,Cheng Jiang,2022.0,HONEST_ERROR,middle,1,1,87.0,1986.0,1988.0,2025.0,37.0,CN,Jinan University,CN,S80372421,Neural Regeneration Research,Wolters Kluwer - Lippincott Williams & Wilkins
A5006506785,Shangqing Tang,2020.0,UNCONFIRMED_CONCERNS,middle,1,1,6.0,107.0,2017.0,2021.0,4.0,CN,Sun Yat-sen University,CN,S3005729997,medrxiv,Cold Spring Harbor Laboratory Press
A5006506867,Ken Yamaguchi,2022.0,UNCONFIRMED_CONCERNS,middle,1,1,575.0,13533.0,1962.0,2026.0,64.0,JP,Saga University,JP,S4210227748,Journal of Clinical Oncology: Precision Oncology,American Society of Clinical Oncology
A5006507316,Kishor M. Wasan,2019.0,AUTHOR_MISCONDUCT,first,1,1,293.0,9766.0,1989.0,2025.0,36.0,CA,University of British Columbia,CA,S49861241,Lancet,Elsevier
A5006507697,Xiaoyang Sun,2022.0,AUTHOR_MISCONDUCT,last,1,1,96.0,2309.0,2010.0,2025.0,15.0,CN,Qingdao Agricultural University,CN,S95395365,Molecular Medicine Reports,Spandidos
A5006508207,Sara C. Sebag,2022.0,HONEST_ERROR,middle,1,1,38.0,615.0,2011.0,2026.0,15.0,US,Fraternal Order of Eagles,US,S128018148,Free Radical Biology & Medicine,Elsevier
A5006511946,Carla Renata Arciola,2017.0,UNCONFIRMED_CONCERNS,last,1,1,270.0,19984.0,1986.0,2026.0,40.0,IT,Istituto Ortopedico Rizzoli,IT,S2504426178,Journal of Applied Biomaterials & Functional Materials,Wichtig Publishing
A5006515590,Prakash B. Behere,2019.0,AUTHOR_MISCONDUCT,first,1,1,108.0,1273.0,1981.0,2024.0,43.0,IN,Jawaharlal Nehru Medical College Hospital,IN,S25288002,Indian Journal of Psychiatry,Wolters Kluwer
A5006515718,R. Z. Sayyed,2022.0,EDITORIAL_COMPROMISE,last,6,1,407.0,15457.0,2002.0,2026.0,24.0,IN,"G.S. Science, Arts And Commerce College",IN,S202381698,PLoS One,PLoS
A5006519004,Shujun Cheng,2020.0,AUTHOR_MISCONDUCT,middle,1,1,142.0,2002.0,1987.0,2026.0,39.0,CN,Guangzhou Automobile Group (China),,S4306525036,European Review for Medical and Pharmacological Sciences,Verduci Editore
A5006524001,I. R. Antypas,2022.0,AUTHOR_MISCONDUCT,last,2,1,54.0,267.0,2015.0,2025.0,10.0,RU,Institute of Service and Entrepreneurship of DGTU,RU,S4210187594,Journal of Physics: Conference Series,IOP Publishing
A5006524322,Minhui Dai,2019.0,AUTHOR_MISCONDUCT,middle,1,1,61.0,2335.0,2010.0,2025.0,15.0,CN,Central South University,CN,S132829192,Molecular Cancer,Springer - Biomed Central (BMC)
A5006524742,Barbara A. Mysona,2017.0,AUTHOR_MISCONDUCT,middle,1,1,69.0,1576.0,2004.0,2023.0,19.0,US,Augusta University,US,S202381698,PLoS One,PLoS
A5006524895,Oduetse Matsebe,2019.0,HONEST_ERROR,middle,1,1,45.0,209.0,2008.0,2026.0,18.0,BW,Botswana International University of Science and Technology,BW,S2765045404,International Review of Aerospace Engineering (IREASE),Praise Worthy Prize
A5006525776,Nicolas Mounier,2020.0,HONEST_ERROR,middle,1,1,411.0,13560.0,1995.0,2026.0,31.0,FR,Inserm,FR,S149476849,Leukemia,Springer - Nature Publishing Group
A5006525784,Lorena Passos Vigolvino,2020.0,EDITORIAL_COMPROMISE,middle,1,1,6.0,61.0,2017.0,2020.0,3.0,BR,Universidade Federal do Rio Grande do Norte,BR,S27861859,Physical Therapy in Sport,Elsevier
A5006526561,Quaid Hussain,2018.0,AUTHOR_MISCONDUCT,last,1,1,56.0,981.0,1970.0,2026.0,56.0,,,CN,S2764357854,Theoretical and Experimental Plant Physiology,Springer
A5006526857,Marc Gertz,2019.0,HONEST_ERROR,last,2,1,107.0,6101.0,1977.0,2020.0,43.0,US,Florida State University,US,S129389861,Social Problems,Oxford University Press
A5006528074,Yuxia Duan,2022.0,AUTHOR_MISCONDUCT,first,1,1,11.0,203.0,2019.0,2026.0,7.0,CN,Anyang Hospital of Traditional Chinese Medicine,CN,S120324992,OncoTargets and Therapy,Taylor and Francis - Dove Press
A5006529031,Pascale Paul,2017.0,HONEST_ERROR,middle,1,1,152.0,7450.0,1978.0,2024.0,46.0,FR,Inserm,FR,S117236744,Clinical Kidney Journal,Oxford University Press
A5006539368,Omri Weisman,2018.0,HONEST_ERROR,middle,1,1,42.0,3166.0,2009.0,2020.0,11.0,,,,S134425043,American Journal of Human Genetics,Elsevier - Cell Press
A5006540159,Joan Berzoff,2016.0,UNCONFIRMED_CONCERNS,first,1,1,54.0,769.0,1977.0,2022.0,45.0,US,Smith College,US,S31678740,Smith College Studies in Social Work,Taylor and Francis
A5006540540,Poonam Parashar,2022.0,UNCONFIRMED_CONCERNS,first,1,1,86.0,1182.0,2006.0,2025.0,19.0,IN,Babasaheb Bhimrao Ambedkar University,IN,S2489428960,"Artificial Cells, Nanomedicine, and Biotechnology",Taylor and Francis
A5006543210,B.J. Gireesha,2021.0,HONEST_ERROR,middle,1,1,110.0,3130.0,2013.0,2025.0,12.0,IN,Kuvempu University,IN,S50372074,Applied Mathematics and Computation,Elsevier
A5006545239,Xingre Lu,2021.0,AUTHOR_MISCONDUCT,first,1,1,4.0,95.0,2013.0,2019.0,6.0,CN,People’s Hospital of Wenshan Prefecture,CN,S2481244646,RSC Advances,Royal Society of Chemistry (RSC)
A5006551354,L. Lourenço,2017.0,AUTHOR_MISCONDUCT,middle,1,1,117.0,1882.0,1979.0,2025.0,46.0,MD,Institute of Mathematics and Computer Science,PT,S105391359,European Journal of Environmental and Civil Engineering,Taylor and Francis
A5006551452,Tieliang Wang,2022.0,HONEST_ERROR,first,1,1,152.0,1163.0,1995.0,2025.0,30.0,CN,Shenyang Agricultural University,CN,S55093224,Discover Nano (formerly known as Nanoscale Research Letters),Springer
A5006559506,El Hadji Boubacar Ba,2021.0,AUTHOR_MISCONDUCT,middle,1,1,4.0,24.0,2016.0,2024.0,8.0,SN,Centre Hospitalier National Universitaire de Fann,SN,S2755481371,Pan African Medical Journal (PAMJ),Pan African Medical Journal (PAMJ)
A5006561493,Guruprasad Ayachit,2018.0,AUTHOR_MISCONDUCT,first,1,1,40.0,104.0,2010.0,2026.0,16.0,IN,Joshi Hospital,IN,S72750922,Saudi Journal of Opthamology,Elsevier
A5006565364,Bin Qiao,2022.0,AUTHOR_MISCONDUCT,middle,1,1,102.0,2137.0,1995.0,2025.0,30.0,CN,Sun Yat-sen University,CN,S126644158,Oncotarget,Impact Journals
